ID,Alphabet,Sunda,Indonesia,isVisualAssetReady,isAudioSundaReady,isAudioIndonesiaReady
0,A,Anggel,Bantal,FALSE,FALSE,FALSE
1,A,Artos,Uang,FALSE,FALSE,FALSE
2,A,Awi,Bambu,FALSE,FALSE,FALSE
3,B,Beurit,Tikus,FALSE,FALSE,FALSE
4,B,Biwir,Bibir,FALSE,FALSE,FALSE
5,B,Bajing,Tupai,FALSE,FALSE,FALSE
6,C,Cingir,Kelingking,FALSE,FALSE,FALSE
7,C,Cau,Pisang,FALSE,FALSE,FALSE
8,C,Cai,Air,FALSE,FALSE,FALSE
9,D,Dawuk,Warna Abu-Abu,FALSE,FALSE,FALSE
10,D,Dalapan,Delapan,FALSE,FALSE,FALSE
11,D,Damar,Lampu,FALSE,FALSE,FALSE
12,E,Emboh,Tambah,FALSE,FALSE,FALSE
13,E,Embe,Kambing,FALSE,FALSE,FALSE
14,E,Endog,Telur,FALSE,FALSE,FALSE
15,F,-,-,-,-,-
16,G,Genep,Enam,FALSE,FALSE,FALSE
17,G,Golodog,Tangga,FALSE,FALSE,FALSE
18,G,Getih,Darah,FALSE,FALSE,FALSE
19,H,Huntu,Gigi,FALSE,FALSE,FALSE
20,H,Hiji,Satu,FALSE,FALSE,FALSE
21,H,Hurang,Udang,FALSE,FALSE,FALSE
22,I,Imah,Rumah,FALSE,FALSE,FALSE
23,I,Irung,Hidung,FALSE,FALSE,FALSE
24,I,Iteuk,Tongkat,FALSE,FALSE,FALSE
25,J,Jagong,Jagung,FALSE,FALSE,FALSE
26,J,Jahul,Batu Nisan,FALSE,FALSE,FALSE
27,J,Jidar,Penggaris,FALSE,FALSE,FALSE
28,K,Kalapa,Kelapa,FALSE,FALSE,FALSE
29,K,Kaler,Selatan,FALSE,FALSE,FALSE
30,K,Kulon,Barat,FALSE,FALSE,FALSE
31,L,Lancah,Laba-Laba,FALSE,FALSE,FALSE
32,L,Lomari,Lemari,FALSE,FALSE,FALSE
33,L,Letah,Lidah,FALSE,FALSE,FALSE
34,M,Manuk,Burung,FALSE,FALSE,FALSE
35,M,Maung,Harimau,FALSE,FALSE,FALSE
36,M,Meri,"Itik,Bebek",FALSE,FALSE,FALSE
37,N,Nyiruan,Tawon,FALSE,FALSE,FALSE
38,O,Oray,Ular,FALSE,FALSE,FALSE
39,O,Opat,Empat,FALSE,FALSE,FALSE
40,O,Odeng,Lebah,FALSE,FALSE,FALSE
41,P,Panon,Mata,FALSE,FALSE,FALSE
42,P,Panto,Pintu,FALSE,FALSE,FALSE
43,P,Papaton,Capung,FALSE,FALSE,FALSE
44,Q,-,-,-,-,-
45,R,Ragaji,Gergaji,FALSE,FALSE,FALSE
46,R,Reungit,Nyamuk,FALSE,FALSE,FALSE
47,S,Sasih,Bulan,FALSE,FALSE,FALSE
48,S,Simeut,Belalang,FALSE,FALSE,FALSE
49,S,Seuneu,Api,FALSE,FALSE,FALSE
50,T,Tilu,Tiga,FALSE,FALSE,FALSE
51,T,Tasma,Kacamata,FALSE,FALSE,FALSE
52,T,Tangkal,Pohon,FALSE,FALSE,FALSE
53,U,Ucing,Kucing,FALSE,FALSE,FALSE
54,U,Ubar,Obat,FALSE,FALSE,FALSE
55,V,-,-,-,-,-
56,W,Wetan,Timur,FALSE,FALSE,FALSE
57,W,Wungu,Ungu,FALSE,FALSE,FALSE
58,X,-,-,-,-,-
59,Y,-,-,-,-,-
60,Z,-,-,-,-,-
