ID;Alphabet;Campalagiang;Indonesia;isVisualAssetReady;isAudioCampalagiangReady;isAudioIndonesiaReady
0;A;Aju;Kayu;FALSE;FALSE;FALSE
1;A;Anjarang;Kuda;FALSE;FALSE;FALSE
2;A;Apang;Kue Apang;FALSE;FALSE;FALSE
3;B;Bale;Ikan;FALSE;FALSE;FALSE
4;B;Balabo;Tikus;FALSE;FALSE;FALSE
5;C;Cabe-cabe;Cabai Rawit;FALSE;FALSE;FALSE
6;C;Cuki;Kucing;FALSE;FALSE;FALSE
7;D;Dongi-Dongi;Burung Gelatik;FALSE;FALSE;FALSE
8;D;Doi';Uang;FALSE;FALSE;FALSE
9;E;Enre;Tangga;FALSE;FALSE;FALSE
10;F;Fanreng;Nanas;FALSE;FALSE;FALSE
11;F;Fanne';Piring Tanah Liat;FALSE;FALSE;FALSE
12;G;Ganrang;Gendang;FALSE;FALSE;FALSE
13;G;Golla;Gula;FALSE;FALSE;FALSE
14;I;Iri';Angin;FALSE;FALSE;FALSE
15;I;Inrang;Utang;FALSE;FALSE;FALSE
16;J;Jepa;Jepa;FALSE;FALSE;FALSE
17;J;Joleng;Jambu Putih;FALSE;FALSE;FALSE
18;K;Kanne;Kakek Nenek;FALSE;FALSE;FALSE
19;K;Kalunuang;Bantal;FALSE;FALSE;FALSE
20;L;Lanja;Tekel;FALSE;FALSE;FALSE
21;L;Lamboko;Kolang-Kaling;FALSE;FALSE;FALSE
22;M;Manre';Memakan;FALSE;FALSE;FALSE
23;M;Manyang;Tuak Aren Manis;FALSE;FALSE;FALSE
24;N;Nyio;Kelapa;FALSE;FALSE;FALSE
25;N;Nomoro';Angka;FALSE;FALSE;FALSE
26;O;Oto;Mobil;FALSE;FALSE;FALSE
27;O;Okko;Gigit;FALSE;FALSE;FALSE
28;P;Pamariang;Padi;FALSE;FALSE;FALSE
29;P;Pattu'du;Menari;FALSE;FALSE;FALSE
30;R;Radio;Radio;FALSE;FALSE;FALSE
31;R;Rekeng;Hitung;FALSE;FALSE;FALSE
32;S;Siala;Menikah;FALSE;FALSE;FALSE
33;S;Sokko;Nasi Ketan;FALSE;FALSE;FALSE
34;S;Sao;Rumah;FALSE;FALSE;FALSE
35;T;Tanra;Penanda;FALSE;FALSE;FALSE
36;T;Tuing-Tuing;Ikan Terbang;FALSE;FALSE;FALSE
37;U;Ula';Ular;FALSE;FALSE;FALSE
38;U;Urang;Udang;FALSE;FALSE;FALSE
39;W;Witai;Saya Melihat;FALSE;FALSE;FALSE
40;Y;Yasing;Surat Yasin;FALSE;FALSE;FALSE
