ID;Alphabet;Campalagiang;Indonesia;isVisualAssetReady;isAudioCampalagiangReady;isAudioIndonesiaReady
0;A;Aju;Kayu;FALSE;FALSE;FALSE
1;A;Anjarang;Kuda;FALSE;FALSE;FALSE
2;A;Apang;Kue Apang;FALSE;FALSE;FALSE
3;B;Bale;Ikan;FALSE;FALSE;FALSE
4;B;Balabo;Tikus;FALSE;FALSE;FALSE
5;C;Cabe-cabe;Cabai;FALSE;FALSE;FALSE
6;C;Cuki;Kucing;FALSE;FALSE;FALSE
7;D;Dongi-Dongi;Burung;FALSE;FALSE;FALSE
8;D;Doi';Uang;FALSE;FALSE;FALSE
9;E;Enre;Tangga;FALSE;FALSE;FALSE
10;G;Ganrang;Gendang;FALSE;FALSE;FALSE
11;G;Golla;Gula;FALSE;FALSE;FALSE
12;I;Iri';Angin;FALSE;FALSE;FALSE
13;I;Isi;Gigi;FALSE;FALSE;FALSE
14;J;Jepa;Jepa;FALSE;FALSE;FALSE
15;J;Jakka;Sisir;FALSE;FALSE;FALSE
16;K;Kanne;Kakek Nenek;FALSE;FALSE;FALSE
17;K;Kalunuang;Bantal;FALSE;FALSE;FALSE
18;L;Lemo;Jeruk;FALSE;FALSE;FALSE
19;L;Lameaju;Singkong;FALSE;FALSE;FALSE
20;M;Manre';Memakan;FALSE;FALSE;FALSE
21;M;Manyang;Arak;FALSE;FALSE;FALSE
22;N;Nyio;Kelapa;FALSE;FALSE;FALSE
23;N;Nomoro';Angka;FALSE;FALSE;FALSE
24;O;Oto;Mobil;FALSE;FALSE;FALSE
25;O;Okko;Gigit;FALSE;FALSE;FALSE
26;P;Pamariang;Padi;FALSE;FALSE;FALSE
27;P;Pattasi';Pelaut;FALSE;FALSE;FALSE
28;R;Radio;Radio;FALSE;FALSE;FALSE
29;R;Rekeng;Hitung;FALSE;FALSE;FALSE
30;S;Sokko;Nasi Ketan;FALSE;FALSE;FALSE
31;S;Sao;Rumah;FALSE;FALSE;FALSE
32;T;Tanra;Penanda;FALSE;FALSE;FALSE
33;T;Tuing-Tuing;Ikan Terbang;FALSE;FALSE;FALSE
34;U;Ula';Ular;FALSE;FALSE;FALSE
35;U;Urang;Udang;FALSE;FALSE;FALSE
36;W;Wattu;Waktu;FALSE;FALSE;FALSE
37;W;Wae;Air;FALSE;FALSE;FALSE
38;Y;Yasing;Surat Yasin;FALSE;FALSE;FALSE
