ID,Alphabet,Sunda,Indonesia,isVisualAssetReady,isAudioSundaReady,isAudioIndonesiaReady
1,A,Artos,Uang,FALSE,FALSE,FALSE
2,C,Cabe,Cabai,FALSE,FALSE,FALSE
3,C,Ceuli,Telinga,FALSE,FALSE,FALSE
4,C,Cingir,Kelingking,FALSE,FALSE,FALSE
5,C,Cau,Pisang,FALSE,FALSE,FALSE
6,C,Cai,Air,FALSE,FALSE,FALSE
7,D,Dawuk,warna Abu-Abu,FALSE,FALSE,FALSE
8,D,Dalapan,Delapan,FALSE,FALSE,FALSE
9,D,Damar,Lampu,FALSE,FALSE,FALSE
10,E,Emboh,Tambah,FALSE,FALSE,FALSE
11,G,Genep,Enam,FALSE,FALSE,FALSE
12,G,Golodog,Tangga,FALSE,FALSE,FALSE
13,H,Huntu,Gigi,FALSE,FALSE,FALSE
14,H,Hiji,Satu,FALSE,FALSE,FALSE
15,H,Hurang,Udang,FALSE,FALSE,FALSE
16,J,Jagong,Jagung,FALSE,FALSE,FALSE
17,J,Jahul,Batu Nisan,FALSE,FALSE,FALSE
18,K,Kalapa,Kelapa,FALSE,FALSE,FALSE
19,K,Kaler,Selatan,FALSE,FALSE,FALSE
20,K,Kulon,Barat,FALSE,FALSE,FALSE
21,L,Lancah,Laba-Laba,FALSE,FALSE,FALSE
22,L,Letah,Lidah,FALSE,FALSE,FALSE
23,M,Mobil,Mobil,FALSE,FALSE,FALSE
24,M,Manuk,Burung,FALSE,FALSE,FALSE
25,M,Maung,Harimau,FALSE,FALSE,FALSE
26,M,Meri,Bebek,FALSE,FALSE,FALSE
27,N,Nyiruan,Tawon,FALSE,FALSE,FALSE
28,O,Oray,Ular,FALSE,FALSE,FALSE
29,O,Opat,Empat,FALSE,FALSE,FALSE
30,O,Odeng,Lebah,FALSE,FALSE,FALSE
31,P,Panon,Mata,FALSE,FALSE,FALSE
32,P,Panto,Pintu,FALSE,FALSE,FALSE
33,R,Radio,Radio,FALSE,FALSE,FALSE
34,R,Ragaji,Gergaji,FALSE,FALSE,FALSE
35,S,Sendal,Sandal,FALSE,FALSE,FALSE
36,S,Sasih,Bulan,FALSE,FALSE,FALSE
37,S,Seuneu,Api,FALSE,FALSE,FALSE
38,T,Tilu,Tiga,FALSE,FALSE,FALSE
39,T,Tasma,Kacamata,FALSE,FALSE,FALSE
40,T,Tangkal,Pohon,FALSE,FALSE,FALSE
41,U,Ucing,Kucing,FALSE,FALSE,FALSE
42,U,Ubar,Obat,FALSE,FALSE,FALSE
43,W,Wetan,Timur,FALSE,FALSE,FALSE
